,COLUMN_NAME,TOP_N_VALUES
47,COMMISSION_PERIOD,"[
  [
    ""2024-01-01"",
    5438845
  ],
  [
    ""2023-07-01"",
    3179964
  ],
  [
    ""2023-10-01"",
    3109012
  ],
  [
    ""2023-12-01"",
    2883820
  ],
  [
    ""2023-06-01"",
    2468383
  ],
  [
    ""2023-04-01"",
    2387077
  ],
  [
    ""2023-09-01"",
    2291512
  ],
  [
    ""2023-05-01"",
    2212572
  ],
  [
    ""2023-11-01"",
    2197801
  ],
  [
    ""2023-03-01"",
    2133171
  ]
]"
48,ORDER_SUB_TYPE,"[
  [
    ""Add"",
    13329826
  ],
  [
    ""New"",
    9418410
  ],
  [
    ""Renewal"",
    7658850
  ],
  [
    ""Auto Renewal with Uplift"",
    965473
  ],
  [
    ""No_Roll"",
    720743
  ],
  [
    ""Swap"",
    641654
  ],
  [
    ""Early Renewal"",
    548293
  ],
  [
    ""Add-Attrition"",
    448012
  ],
  [
    ""Ramp"",
    446082
  ],
  [
    ""Early Renewal/Upgrade"",
    277741
  ]
]"
49,NUM_SEATS,"[
  [
    ""1"",
    11408178
  ],
  [
    ""2"",
    2833609
  ],
  [
    ""5"",
    1850314
  ],
  [
    ""3"",
    1581659
  ],
  [
    ""10"",
    1500967
  ],
  [
    ""4"",
    1240782
  ],
  [
    ""20"",
    698751
  ],
  [
    ""6"",
    578269
  ],
  [
    ""15"",
    562138
  ],
  [
    ""8"",
    448387
  ]
]"
50,REVENUE_OWNER,"[
  [
    ""AMER"",
    17531786
  ],
  [
    ""IE"",
    4209824
  ],
  [
    ""UK"",
    2763793
  ],
  [
    ""JAPAN"",
    2395664
  ],
  [
    ""FR"",
    1351574
  ],
  [
    ""DE"",
    1131521
  ],
  [
    ""ANZ"",
    933658
  ],
  [
    ""CANADA"",
    823777
  ],
  [
    ""ES"",
    638850
  ],
  [
    ""APAC"",
    625385
  ]
]"
51,ORDER_ITEM_ID,"[
  [
    ""MANUAL ADJUSTMENT"",
    997010
  ],
  [
    ""8023y000008DicSAAS"",
    26970
  ],
  [
    ""8023y000008U2pPAAS"",
    26968
  ],
  [
    ""8023y000007CluoAAC"",
    26967
  ],
  [
    ""8023y000008JXtcAAG"",
    26964
  ],
  [
    ""8023y0000081kT2AAI"",
    26964
  ],
  [
    ""8023y0000081kT1AAI"",
    26964
  ],
  [
    ""8023y000008JV7NAAW"",
    26963
  ],
  [
    ""8023y000008JV7MAAW"",
    26963
  ],
  [
    ""8023y000008JV3FAAW"",
    26963
  ]
]"
52,RELATED_CONTRACT_NUMBER,[]
53,CEO_NUMBER,"[
  [
    ""102332"",
    129332
  ],
  [
    ""100611"",
    125598
  ],
  [
    ""726013"",
    57531
  ],
  [
    ""703009"",
    57016
  ],
  [
    ""0010142321"",
    21316
  ],
  [
    ""0010142490"",
    21312
  ],
  [
    ""0010170426"",
    21308
  ],
  [
    ""0010170425"",
    21308
  ],
  [
    ""0010148084"",
    21306
  ],
  [
    ""0010141500"",
    21306
  ]
]"
54,SFDC_EMPLOYEE_ID,"[
  [
    ""100367"",
    1061636
  ],
  [
    ""102876"",
    1045579
  ],
  [
    ""713688"",
    1044677
  ],
  [
    ""734763"",
    993011
  ],
  [
    ""753521"",
    834895
  ],
  [
    ""772471"",
    834688
  ],
  [
    ""102423"",
    832665
  ],
  [
    ""720328"",
    519583
  ],
  [
    ""100274"",
    515401
  ],
  [
    ""761537"",
    245168
  ]
]"
55,RELATED_ORDER_CODE,"[
  [
    ""05555555"",
    67124
  ],
  [
    ""00888888"",
    18320
  ],
  [
    ""26399122"",
    15605
  ],
  [
    ""26399121"",
    8084
  ],
  [
    ""25351759"",
    4182
  ],
  [
    ""25887045"",
    4019
  ],
  [
    ""25658544"",
    3084
  ],
  [
    ""23291927"",
    2926
  ],
  [
    ""25324489"",
    2672
  ],
  [
    ""18407369"",
    2358
  ]
]"
56,FILE_NAME,"[
  [
    ""Xactly_Ad_Hoc_ALF_PPP_FEB-24_20240317_071411.txt.gz"",
    29256997
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_APR-24_20240418_164211.txt.gz"",
    1238527
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_MAY-24_20240530_221926.txt.gz"",
    1090918
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_FEB-24_20240219_132636.txt.gz"",
    1016400
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_JUN-24_20240629_142553.txt.gz"",
    423049
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_JUL-24_20240723_153956.txt.gz"",
    316622
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_APR-24_20240427_022003.txt.gz"",
    311075
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_SEP-24_20240923_041650.txt.gz"",
    303839
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_JUN-24_20240625_201626.txt.gz"",
    286486
  ],
  [
    ""Xactly_Ad_Hoc_ALF_PPP_AUG-24_20240830_032255.txt.gz"",
    279391
  ]
]"
